"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","individualCount","continent","vernacularName","dataGeneralizations","locality","samplingProtocol","higherClassification","occurrenceRemarks","informationWithheld","county","municipality","identificationVerificationStatus","language","type","taxonConceptID","behavior","endDayOfYear","startDayOfYear","datasetID","accessRights","sex","lifeStage","identificationRemarks","dynamicProperties","associatedReferences","locationID","fieldNotes","footprintWKT","habitat","elevation","coordinatePrecision","eventID","originalNameUsage","nameAccordingTo","elevationAccuracy","projectId","nomenclaturalCode","georeferenceRemarks","eventRemarks","parentEventID","institutionID","ownerInstitutionCode"
"1","Aeshna cyanea",15.49028,47.049368,"cdround,gass84","gbif","2563603313","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:52:51.429+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-01-26T13:02:25",266,"Steiermark",2020,1,26,2020-01-26,"2020-01-26T18:14:15.000+0000","2020-09-27T12:52:51.429+0000","https://www.inaturalist.org/observations/37984555","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","AT","Austria","fabian_alber","37984555","fabian_alber","Sun Jan 26 2020 14:01:05 GMT+0100 (GMT+1)","iNaturalist research-grade observations","Observations","2563603313","Messendorfberg, Graz, Steiermark, AT","https://www.inaturalist.org/observations/37984555","52519","37984555","fabian_alber","https://www.inaturalist.org/observations/37984555","iNaturalist","© fabian_alber some rights reserved","13:01:05Z","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440> <U+041E><U+043D><U+0438><U+0448><U+043A><U+043E>","84986521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aeshna cyanea",15.531626,47.132905,"cdround,gass84","gbif","2626564876","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T13:00:35.035+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-05-25T20:44:14",349,"Steiermark",2020,5,20,2020-05-20,"2020-05-25T20:44:14.000+0000","2020-09-27T13:00:35.035+0000","https://www.inaturalist.org/observations/46593007","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","AT","Austria","sophianaima","46593007","sophianaima","2020-05-20 2:37:03 PM GMT+02:00","iNaturalist research-grade observations","Observations","2626564876","Prellerberg Altes Faßl, 8062, Österreich","https://www.inaturalist.org/observations/46593007","52519","46593007","sophianaima","https://www.inaturalist.org/observations/46593007","iNaturalist","© sophianaima some rights reserved","12:37:03Z","Artyom Matrokov","105672922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aeshna cyanea",2.586629,43.132619,"cdround,gass84","gbif","2641289041","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:53:46.162+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-07T19:50:03",31,"Languedoc-Roussillon",2020,6,7,2020-06-07,"2020-06-07T23:06:14.000+0000","2020-09-27T12:53:46.162+0000","https://www.inaturalist.org/observations/48799032","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","FR","France","spongeman","48799032","spongeman","2020/06/07 4:28 PM CEST","iNaturalist research-grade observations","Observations","2641289041","11220 Val-de-Dagne, France","https://www.inaturalist.org/observations/48799032","52519","48799032","spongeman","https://www.inaturalist.org/observations/48799032","iNaturalist","© spongeman some rights reserved","14:28:00Z","Bastien Louboutin","108662652",NA,NA,NA,NA,NA,NA,NA,"Dragonfly resting out of wind on track to stream.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aeshna cyanea",5.521955,49.767954,"cdround,gass84","gbif","2641289647","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:39:36.544+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-05T17:07:58",10,"Wallonie",2020,6,5,2020-06-05,"2020-06-05T19:10:29.000+0000","2020-09-27T12:39:36.544+0000","https://www.inaturalist.org/observations/48555695","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","BE","Belgium","brujc","48555695","brujc","Fri Jun 05 2020 19:07:06 GMT+0200 (GMT+2)","iNaturalist research-grade observations","Observations","2641289647","Rue de la Gare, Léglise, Luxembourg, BE","https://www.inaturalist.org/observations/48555695","52519","48555695","brujc","https://www.inaturalist.org/observations/48555695","iNaturalist","© brujc some rights reserved","17:07:06Z","ronan_a","108156773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aeshna cyanea",-0.16079,51.588428,"cdround,gass84","gbif","2641359700","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:39:21.983+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-05T19:05:30",66,"England",2020,6,5,2020-06-05,"2020-06-05T19:12:59.000+0000","2020-09-27T12:39:21.983+0000","https://www.inaturalist.org/observations/48567845","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","jonnyj","48567845","jonnyj","2020-06-05 5:00:00 PM GMT+01:00","iNaturalist research-grade observations","Observations","2641359700","East Finchley, London, UK","https://www.inaturalist.org/observations/48567845","52519","48567845","jonnyj","https://www.inaturalist.org/observations/48567845","iNaturalist","© jonnyj some rights reserved","15:00:00Z","jonnyj","108182350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Aeshna cyanea",4.858866,45.885206,"cdround,gass84","gbif","2641470417","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:48:03.651+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-09T15:46:03",24,"Rhône-Alpes",2020,6,8,2020-06-08,"2020-06-10T09:15:19.000+0000","2020-09-27T12:48:03.651+0000","https://www.inaturalist.org/observations/49028523","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","FR","France","french_scientist","49028523","french_scientist","Mon Jun 08 2020 19:22:04 GMT+0200 (GMT+2)","iNaturalist research-grade observations","Observations","2641470417","Rue du Vieux Château, Montanay, Rhône-Alpes, FR","https://www.inaturalist.org/observations/49028523","52519","49028523","french_scientist","https://www.inaturalist.org/observations/49028523","iNaturalist","© french_scientist some rights reserved","17:22:04Z","french_scientist","109080751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Aeshna cyanea",0.099272,51.53325,"cdround,gass84","gbif","2641478383","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:39:44.826+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-09T08:35:56",33,"England",2020,6,7,2020-06-07,"2020-06-09T13:07:45.000+0000","2020-09-27T12:39:44.826+0000","https://www.inaturalist.org/observations/48999525","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","thackers","48999525","thackers","2020-06-07 10:56:08 AM GMT+01:00","iNaturalist research-grade observations","Observations","2641478383","Barking IG11, UK","https://www.inaturalist.org/observations/48999525","52519","48999525","thackers","https://www.inaturalist.org/observations/48999525","iNaturalist","© thackers some rights reserved","08:56:08Z","thackers","109022362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Aeshna cyanea",1.99794,48.472346,"cdround,gass84","gbif","2641488813","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:59:08.949+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-06T13:26:41",2,"Île-de-France",2020,6,6,2020-06-06,"2020-06-06T13:54:16.000+0000","2020-09-27T12:59:08.949+0000","https://www.inaturalist.org/observations/48645423","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","FR","France","Bruno Durand","48645423","brunodurand","2020/06/06 12:42 PM CEST","iNaturalist research-grade observations","Observations","2641488813","91410 Richarville, France","https://www.inaturalist.org/observations/48645423","52519","48645423","Bruno Durand","https://www.inaturalist.org/observations/48645423","iNaturalist","© Bruno Durand some rights reserved","10:42:00Z","Bruno Durand","108334987",NA,NA,NA,NA,NA,NA,NA,"exuvie, sur petite mare d'ornement (4 x 3 m) en jardin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Aeshna cyanea",-0.342561,46.118379,"cdround,gass84","gbif","2641614564","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:52:31.046+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-10T18:04:14",2,"Poitou-Charentes",2020,6,10,2020-06-10,"2020-06-10T18:49:48.000+0000","2020-09-27T12:52:31.046+0000","https://www.inaturalist.org/observations/49144569","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","FR","France","Sylvain Bost","49144569","sylvainbost","2020/06/10 12:33 PM CEST","iNaturalist research-grade observations","Observations","2641614564","79170 Chizé, France","https://www.inaturalist.org/observations/49144569","52519","49144569","Sylvain Bost","https://www.inaturalist.org/observations/49144569","iNaturalist","© Sylvain Bost some rights reserved","10:33:00Z","Sylvain Bost","109325011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Aeshna cyanea",-1.246639,53.079561,"cdround,gass84","gbif","2802735849","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:39:58.139+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-20T12:05:14",357,"England",2020,6,20,2020-06-20,"2020-06-20T18:46:10.000+0000","2020-09-27T12:39:58.139+0000","https://www.inaturalist.org/observations/50253011","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","lapwing81","50253011","lapwing81","Sat Jun 20 2020 12:40:54 GMT+0100 (GMT+1)","iNaturalist research-grade observations","Observations","2802735849","Great Britain, Nottingham, England, GB","https://www.inaturalist.org/observations/50253011","52519","50253011","lapwing81","https://www.inaturalist.org/observations/50253011","iNaturalist","© lapwing81 some rights reserved","10:40:54Z","lapwing81","111551784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Aeshna cyanea",-2.779385,51.192978,"cdround,gass84","gbif","2802829841","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:59:19.460+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-22T18:44:36",31,"England",2020,6,22,2020-06-22,"2020-06-22T19:42:04.000+0000","2020-09-27T12:59:19.460+0000","https://www.inaturalist.org/observations/50581975","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","Paul Bowyer","50581975","paulbowyer","2020/06/22 8:00 AM BST","iNaturalist research-grade observations","Observations","2802829841","Somerset, UK","https://www.inaturalist.org/observations/50581975","52519","50581975","Paul Bowyer","https://www.inaturalist.org/observations/50581975","iNaturalist","© Paul Bowyer some rights reserved","07:00:00Z","Paul Bowyer","112154131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Aeshna cyanea",1.726288,52.578712,"cdround,gass84","gbif","2802858184","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:58:31.528+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-24T10:18:40",9,"England",2020,6,21,2020-06-21,"2020-06-24T10:21:18.000+0000","2020-09-27T12:58:31.528+0000","https://www.inaturalist.org/observations/50757194","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","Bee Saviour Behaviour","50757194","saviourbees","Sun Jun 21 2020 17:36:15 GMT+0100 (GMT+1)","iNaturalist research-grade observations","Observations","2802858184","Great Britain, Great Yarmouth, England, GB","https://www.inaturalist.org/observations/50757194","52519","50757194","Bee Saviour Behaviour","https://www.inaturalist.org/observations/50757194","iNaturalist","© Bee Saviour Behaviour some rights reserved","15:36:15Z","Bee Saviour Behaviour","112519011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Aeshna cyanea",0.697343,51.065851,"cdround,gass84","gbif","2802877170","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:49:34.446+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-21T10:14:30",357,"England",2020,6,21,2020-06-21,"2020-06-21T10:57:56.000+0000","2020-09-27T12:49:34.446+0000","https://www.inaturalist.org/observations/50386418","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","samanthareed","50386418","samanthareed","Sun Jun 21 2020 11:10:59 GMT+0100 (GMT+1)","iNaturalist research-grade observations","Observations","2802877170","Great Britain, Tenterden, England, GB","https://www.inaturalist.org/observations/50386418","52519","50386418","samanthareed","https://www.inaturalist.org/observations/50386418","iNaturalist","© samanthareed some rights reserved","09:10:59Z","samanthareed","111788283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Aeshna cyanea",12.749053,47.758892,"cdround,gass84","gbif","2802934231","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:40:00.473+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-17T16:15:15",4,"Bayern",2020,6,17,2020-06-17,"2020-06-17T16:21:32.000+0000","2020-09-27T12:40:00.473+0000","https://www.inaturalist.org/observations/49955885","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","DE","Germany","werloewe","49955885","werloewe","2020/06/17 6:09 PM CEST","iNaturalist research-grade observations","Observations","2802934231","83334 Inzell, Deutschland","https://www.inaturalist.org/observations/49955885","52519","49955885","werloewe","https://www.inaturalist.org/observations/49955885","iNaturalist","© werloewe some rights reserved","16:09:00Z","werloewe","110960472",NA,NA,NA,NA,NA,NA,NA,"recently hatched",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Aeshna cyanea",-0.492072,51.389199,"cdround,gass84","gbif","2802989904","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:53:04.831+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-23T08:21:25",10,"England",2020,6,23,2020-06-23,"2020-06-25T16:47:39.000+0000","2020-09-27T12:53:04.831+0000","https://www.inaturalist.org/observations/50645424","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","grahamcarey","50645424","grahamcarey","2020-06-23 9:20:09 AM GMT+01:00","iNaturalist research-grade observations","Observations","2802989904","Surrey, England, GB","https://www.inaturalist.org/observations/50645424","52519","50645424","grahamcarey","https://www.inaturalist.org/observations/50645424","iNaturalist","© grahamcarey some rights reserved","07:20:09Z","grahamcarey","112286828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Aeshna cyanea",10.051488,56.262575,"cdround,gass84","gbif","2803010750","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:39:58.985+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-20T08:01:53",30,"Midtjylland",2020,6,20,2020-06-20,"2020-06-20T09:11:24.000+0000","2020-09-27T12:39:58.985+0000","https://www.inaturalist.org/observations/50238069","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","DK","Denmark","raspet","50238069","raspet","Sat Jun 20 2020 09:49:26 GMT+0200 (GMT+2)","iNaturalist research-grade observations","Observations","2803010750","Grusgraven, Hinnerup, Midtjylland, DK","https://www.inaturalist.org/observations/50238069","52519","50238069","raspet","https://www.inaturalist.org/observations/50238069","iNaturalist","© raspet some rights reserved","07:49:26Z","raspet","111521744",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Aeshna cyanea",-2.354444,51.387778,"cdround,gass84","gbif","2803053915","Aeshna cyanea Müller, 1764","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:48:58.308+0000",233,"HUMAN_OBSERVATION","PRESENT",1425240,1,54,216,789,4209,1425165,1425240,1425240,"Aeshna cyanea Müller, 1764","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna cyanea","Aeshna","cyanea","SPECIES","ACCEPTED","2020-06-23T12:14:53",3,"England",2020,6,22,2020-06-22,"2020-06-23T16:53:05.000+0000","2020-09-27T12:48:58.308+0000","https://www.inaturalist.org/observations/50657005","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","GB","United Kingdom of Great Britain and Northern Ireland","ceris","50657005","ceris","2020-06-22 1:30:47 PM GMT+01:00","iNaturalist research-grade observations","Observations","2803053915","St Mary's churchyard, Henrietta Road, Bath BA2 6PG, UK","https://www.inaturalist.org/observations/50657005","52519","50657005","ceris","https://www.inaturalist.org/observations/50657005","iNaturalist","© ceris some rights reserved","11:30:47Z","ceris","112312060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
